puzzle_id,label,row_hints,col_hints,num_solutions,solving_time_sec
0,5,"[[25], [25], [25], [25], [15, 1, 4], [10, 4], [7, 9], [7, 9], [8, 1, 3, 9], [10, 13], [10, 13], [11, 13], [12, 10], [13, 8], [15, 7], [15, 7], [13, 7], [12, 7], [11, 9], [9, 11], [6, 13], [4, 15], [25], [25], [25]]","[[25], [25], [25], [25], [21, 3], [21, 3], [20, 3], [6, 12, 3], [6, 11, 3], [6, 11, 3], [5, 8, 4], [5, 6, 4], [5, 4, 4, 5], [5, 4, 2, 5], [5, 4, 2, 6], [4, 4, 6], [4, 7, 7], [5, 8, 7], [4, 19], [4, 19], [4, 19], [25], [25], [25], [25]]",1,0.12083840370178223
1,0,"[[25], [25], [25], [25], [13, 7], [12, 7], [12, 1, 6], [10, 1, 5], [10, 1, 2, 5], [9, 6, 5], [8, 6, 4], [7, 8, 4], [6, 9, 4], [6, 10, 4], [6, 9, 5], [6, 8, 6], [6, 7, 7], [6, 6, 8], [6, 3, 9], [6, 10], [6, 12], [25], [25], [25], [25]]","[[25], [25], [25], [25], [25], [25], [12, 4], [11, 4], [10, 5, 4], [9, 7, 4], [7, 8, 4], [7, 8, 4], [5, 9, 4], [4, 10, 5], [4, 8, 5], [4, 7, 6], [4, 9, 7], [4, 6, 8], [6, 9], [7, 10], [10, 11], [25], [25], [25], [25]]",1,0.2844369411468506
10,3,"[[25], [25], [25], [25], [10, 10], [10, 9], [11, 8], [11, 9], [12, 9], [12, 8], [12, 9], [10, 9], [11, 8], [14, 8], [14, 8], [14, 8], [13, 9], [6, 6, 9], [5, 4, 9], [6, 10], [6, 1, 11], [25], [25], [25], [25]]","[[25], [25], [25], [25], [25], [18, 6], [17, 4], [18, 5], [19, 4], [19, 4], [4, 5, 7, 4], [4, 3, 6, 4], [4, 5, 4], [4, 3, 4], [4, 5], [5, 6], [6, 2, 2, 9], [25], [25], [25], [25], [25], [25], [25], [25]]",1,0.09735822677612305
100,5,"[[25], [25], [25], [25], [25], [14, 6], [12, 6], [10, 9], [9, 13], [9, 13], [9, 13], [10, 13], [10, 13], [10, 13], [10, 13], [10, 11], [10, 9], [13, 8], [14, 8], [15, 8], [15, 8], [14, 8], [15, 9], [25], [25]]","[[25], [25], [25], [25], [25], [25], [25], [25], [25], [8, 14], [7, 8], [7, 8], [6, 7, 8], [6, 7, 7], [5, 8, 2, 3], [5, 8, 2], [5, 10, 3], [5, 18], [5, 18], [25], [25], [25], [25], [25], [25]]",1,0.0910184383392334
101,7,"[[25], [25], [25], [25], [25], [25], [25], [16, 4], [12, 4], [10, 5], [7, 2, 5], [4, 5, 6], [3, 11, 7], [15, 8], [14, 8], [14, 9], [13, 10], [12, 10], [12, 11], [12, 11], [12, 12], [11, 13], [11, 13], [25], [25]]","[[25], [25], [25], [12, 12], [11, 12], [11, 13], [11, 13], [10, 13], [10, 13], [10, 13], [9, 13], [9, 9, 2], [8, 6, 4], [8, 5, 5], [8, 4, 7], [8, 3, 9], [7, 1, 10], [7, 12], [7, 13], [7, 14], [7, 16], [25], [25], [25], [25]]",1,0.28526997566223145
102,1,"[[25], [25], [25], [25], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [12, 12], [25], [25], [25], [25]]","[[25], [25], [25], [25], [25], [25], [25], [25], [25], [25], [25], [25], [4, 4], [25], [25], [25], [25], [25], [25], [25], [25], [25], [25], [25], [25]]",1,0.05574750900268555
103,7,"[[25], [25], [25], [25], [25], [25], [15, 7], [10, 6], [8, 6], [6, 3, 6], [5, 5, 6], [16, 7], [14, 8], [14, 9], [13, 9], [13, 10], [12, 11], [12, 11], [12, 12], [11, 12], [11, 13], [9, 14], [9, 14], [9, 14], [25]]","[[25], [25], [25], [25], [25], [10, 14], [9, 14], [9, 14], [8, 14], [8, 10, 1], [7, 10, 1], [7, 9, 4], [7, 6, 5], [7, 5, 7], [7, 3, 9], [6, 3, 10], [6, 12], [6, 13], [7, 14], [25], [25], [25], [25], [25], [25]]",1,0.13773798942565918
104,1,"[[25], [25], [25], [25], [11, 13], [11, 13], [11, 13], [11, 13], [11, 13], [11, 13], [12, 12], [12, 12], [12, 11], [12, 11], [12, 11], [12, 11], [12, 10], [12, 10], [12, 10], [13, 10], [13, 10], [25], [25], [25], [25]]","[[25], [25], [25], [25], [25], [25], [25], [25], [25], [25], [25], [4, 15], [10, 6], [12, 4], [16, 4], [25], [25], [25], [25], [25], [25], [25], [25], [25], [25]]",1,0.10737204551696777
105,1,"[[25], [25], [25], [25], [14, 7], [14, 8], [13, 8], [13, 8], [13, 9], [12, 10], [12, 10], [11, 10], [11, 11], [11, 12], [10, 12], [9, 12], [10, 12], [9, 13], [9, 13], [9, 13], [8, 13], [25], [25], [25], [25]]","[[25], [25], [25], [25], [25], [25], [25], [25], [20, 4], [15, 1, 4], [14, 4], [11, 4], [9, 8], [6, 12], [4, 13], [4, 16], [4, 17], [4, 20], [25], [25], [25], [25], [25], [25], [25]]",1,0.20856189727783203
106,6,"[[25], [25], [25], [13, 10], [12, 9], [11, 1, 9], [11, 2, 9], [10, 13], [9, 13], [8, 14], [8, 15], [8, 15], [8, 8], [7, 7], [8, 5, 6], [8, 6, 6], [8, 5, 6], [8, 3, 6], [9, 7], [10, 9], [12, 10], [25], [25], [25], [25]]","[[25], [25], [25], [25], [25], [25], [25], [13, 11], [9, 7], [8, 6], [7, 2, 2, 5], [5, 3, 4, 5], [4, 5, 4, 4], [3, 6, 4, 4], [3, 7, 3, 4], [4, 5, 2, 5], [12, 6], [13, 6], [14, 7], [25], [25], [25], [25], [25], [25]]",2,0.1959092617034912
