puzzle_id,label,row_hints,col_hints,num_solutions,solving_time_sec
0,5,"[[], [], [], [6], [6], [1], [1], [2], [2], [2], [4], [4], [4], [], []]","[[], [], [], [1], [1, 1], [1, 2], [4, 2], [2, 1, 2], [2, 2, 2], [2, 3], [1, 2], [1], [], [], []]",2,0.11283326148986816
1,0,"[[], [], [1], [4], [6], [2, 1], [2, 1], [1, 1], [1, 1], [1, 1], [1, 1], [5], [3], [], []]","[[], [], [], [], [7], [2, 2], [2, 2], [2, 1], [2, 1], [3, 1], [2, 1], [5], [], [], []]",2,0.15699338912963867
10,3,"[[], [], [1], [4], [4], [3], [4], [4], [1], [1], [2], [5], [2], [], []]","[[], [], [], [], [1], [1], [2, 2, 2], [6, 2], [5, 2], [8], [], [], [], [], []]",1,0.05260872840881348
100,5,"[[], [], [], [2], [4], [2], [1], [1], [1], [3], [2], [1], [1], [1], []]","[[], [], [], [], [], [1], [6], [1, 1], [1, 2], [2, 4], [1], [], [], [], []]",1,0.07484841346740723
101,7,"[[], [], [], [], [2], [6], [5, 1], [1, 1], [1], [1], [2], [2], [1], [1], []]","[[], [], [2], [1], [1], [1], [2, 2], [1, 2], [1, 2], [1, 2], [4], [2], [], [], []]",6,0.080474853515625
102,1,"[[], [], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [], []]","[[], [], [], [], [], [], [], [11], [], [], [], [], [], [], []]",1,0.033408403396606445
103,7,"[[], [], [], [], [5], [4, 1], [1], [1], [1], [1], [2], [2], [1], [1], []]","[[], [], [], [], [1], [1, 1], [2, 2], [2, 2], [1, 2], [1, 2], [3], [], [], [], []]",18,0.11354899406433105
104,1,"[[], [], [1], [1], [1], [1], [1], [2], [2], [2], [2], [1], [], [], []]","[[], [], [], [], [], [], [4], [5], [5], [], [], [], [], [], []]",3,0.02941155433654785
105,1,"[[], [], [2], [1], [2], [2], [3], [3], [2], [3], [2], [2], [2], [], []]","[[], [], [], [], [], [4], [7], [5], [4], [3], [1], [], [], [], []]",1,0.061775922775268555
106,6,"[[], [], [3], [4], [1], [1], [1], [5], [7], [1, 1], [1, 2], [4], [], [], []]","[[], [], [], [], [1], [6], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 2], [3], [], [], [], []]",2,0.11306095123291016
107,3,"[[], [], [3], [6], [1], [2], [4], [5], [2, 2], [2], [1], [8], [1], [], []]","[[], [], [1], [2], [1], [1, 1, 1], [1, 2, 1], [2, 2, 1], [2, 2, 1], [2, 7], [7], [], [], [], []]",1,0.1071481704711914
108,0,"[[], [], [], [3, 2], [2, 2], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [2, 2], [7], [], [], []]","[[], [], [], [6], [2, 2], [1, 2], [1, 1], [1], [1, 1], [1, 1], [1, 1], [2, 2], [5], [], []]",2,0.14284586906433105
109,2,"[[], [], [], [2], [4], [2], [2], [2], [1, 2], [8], [3], [], [], [], []]","[[], [], [], [], [1, 3], [2, 1, 1], [2, 1, 2], [3, 2], [1, 2], [1], [1], [1], [1], [1], []]",1,0.07255697250366211
11,5,"[[], [], [], [], [4], [2], [1], [1], [1], [1, 1], [3], [], [], [], []]","[[], [], [], [], [2], [1], [3, 1], [1], [1], [1], [1], [1], [1], [1], []]",20,0.09530997276306152
110,9,"[[], [], [], [2], [2, 3], [1, 2], [1, 2], [1, 4], [3, 1], [1, 1], [1], [2], [1], [1], []]","[[], [], [], [], [3], [2, 2], [1, 2], [1, 1], [2, 2], [8], [2, 3], [], [], [], []]",1,0.1487107276916504
111,3,"[[], [], [], [6], [9], [1, 2], [4], [7], [6], [1], [1], [2, 2], [8], [], []]","[[], [], [2], [1, 2], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 2, 1], [2, 3, 1], [2, 3, 2], [5, 3], [3], [], [], []]",1,0.1638333797454834
112,1,"[[], [], [], [1], [2], [2], [2], [2], [2], [2], [2], [1], [1], [], []]","[[], [], [], [], [], [], [], [9], [8], [], [], [], [], [], []]",1,0.05098700523376465
113,1,"[[], [], [2], [3], [2], [3], [3], [2], [3], [3], [2], [2], [1], [], []]","[[], [], [], [], [2], [3], [3], [5], [6], [5], [2], [], [], [], []]",1,0.05646681785583496
114,0,"[[], [], [], [2], [7], [6, 3], [3, 1], [2, 1], [2, 2], [1, 2], [2, 3], [6], [2], [], []]","[[], [], [], [6], [4, 2], [3, 1], [2, 2], [3, 2], [3, 1], [1, 2], [2, 2], [2, 3], [4], [], []]",1,0.1540229320526123
115,4,"[[], [], [], [1], [1, 1], [1, 1], [2, 1], [7], [6], [2], [2], [1], [1], [], []]","[[], [], [], [], [3], [3], [2, 2, 2], [2, 1], [4], [3], [4], [1], [], [], []]",3,0.06913948059082031
116,9,"[[], [], [], [], [4], [2, 1], [2, 2], [7], [6], [1], [2], [2], [2], [2], []]","[[], [], [], [], [3], [4], [2, 2], [1, 2, 3], [1, 2, 4], [1, 5], [3], [], [], [], []]",1,0.07817983627319336
117,2,"[[], [], [], [7], [8], [1, 2], [3], [3], [3], [3, 2], [10], [5], [], [], []]","[[], [], [], [2, 2], [2, 4], [2, 5], [2, 2, 2], [2, 2, 2], [2, 1, 2], [4, 1], [3, 1], [2], [2], [], []]",1,0.11978483200073242
118,0,"[[], [], [2], [2, 1], [2], [2, 1], [3, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 2], [3], [], []]","[[], [], [], [], [5], [2, 1], [3, 1], [2, 1], [2, 2], [1, 1], [1, 1], [5], [], [], []]",9,0.15504121780395508
119,0,"[[], [], [1], [5], [6], [5, 1], [2, 1], [2, 1], [2, 2], [1, 2], [2, 3], [6], [3], [], []]","[[], [], [], [5], [3, 3], [2, 2], [2, 2], [3, 1], [3, 2], [4, 2], [2, 3], [6], [], [], []]",1,0.1611926555633545
12,3,"[[], [], [], [7], [2], [2], [3], [5], [4], [2], [2], [1, 2], [6], [], []]","[[], [], [1], [1], [1, 2], [1, 1], [1, 2, 1], [1, 3, 1], [6, 1], [1, 2, 2], [5], [3], [], [], []]",1,0.09638381004333496
120,2,"[[], [], [], [5], [9], [2, 2], [1], [1], [1], [6], [7], [5], [4], [], []]","[[], [], [2], [2], [2], [2, 2], [2, 3], [2, 4], [2, 4], [2, 3], [7], [2], [2], [], []]",1,0.12900757789611816
121,0,"[[], [], [3], [6, 1], [3, 1, 1], [3, 1], [2, 1], [1, 1], [2, 2], [2, 2], [3, 2], [7], [4], [], []]","[[], [], [], [6], [3, 4], [3, 3], [2, 2], [2, 2], [2, 2], [2, 1], [2, 2], [3], [7], [], []]",1,0.12361288070678711
122,2,"[[], [2], [3], [1], [1], [1], [2], [2], [2], [3], [8], [1, 4], [], [], []]","[[], [], [], [1], [2], [2], [1, 2], [2, 5], [1, 3, 2], [5, 2], [2], [], [], [], []]",1,0.12343430519104004
123,7,"[[], [], [], [], [3], [9], [1, 1], [2], [1], [2], [2], [2], [2], [1], [1]]","[[], [], [], [2], [1, 3], [1, 2], [1, 2], [1, 2], [2, 1], [2, 2], [4], [1], [], [], []]",2,0.11197257041931152
124,1,"[[], [], [], [2], [1], [2], [2], [2], [1], [1], [1], [1], [1], [], []]","[[], [], [], [], [], [], [2], [1, 6], [5], [], [], [], [], [], []]",1,0.04220128059387207
125,8,"[[], [], [], [4], [1, 1], [1, 1], [3], [3], [3], [2, 2], [1, 1], [2, 2], [2], [], []]","[[], [], [], [], [1], [4], [6, 1], [1, 3, 1], [1, 7], [2, 1], [1], [], [], [], []]",1,0.09799003601074219
126,6,"[[], [], [3], [3], [1], [2], [1], [1], [5], [2, 2], [2, 1], [5], [], [], []]","[[], [], [], [], [], [6], [3, 4], [1, 1, 1], [2, 1, 1], [1, 2, 1], [1, 3], [], [], [], []]",1,0.07734560966491699
127,4,"[[], [], [], [1], [2], [1, 1], [1, 2], [2, 1], [2, 2], [7], [1], [2], [1], [], []]","[[], [], [], [1], [3], [3, 2], [1, 3], [1, 1], [2], [4], [2], [1], [2], [], []]",6,0.10106706619262695
128,1,"[[], [], [1], [3], [2], [2], [3], [3], [3], [3], [3], [3], [2], [], []]","[[], [], [], [], [], [], [6], [10], [11], [1], [], [], [], [], []]",1,0.05564141273498535
129,6,"[[], [], [2], [2], [2], [2], [5], [4, 1], [4, 1], [3, 1], [6], [4], [], [], []]","[[], [], [], [], [2], [6], [7], [5, 2], [2, 3, 2], [2, 1, 2], [1, 2], [], [], [], []]",1,0.12679576873779297
13,6,"[[], [1], [3], [2], [1], [2], [1, 2], [1, 3, 1], [1, 2, 2], [1, 1, 1], [1, 3], [2], [], [], []]","[[], [], [], [], [3], [3, 1], [2, 3], [2, 2, 1], [2, 2, 1], [2, 2, 1], [1, 1], [2], [], [], []]",2,0.15130043029785156
130,3,"[[], [], [], [3], [1, 3], [2], [3], [3], [3], [1], [2], [4], [3], [], []]","[[], [], [], [], [1, 1], [2, 1], [1, 2, 2], [1, 3, 1], [5, 1], [2, 4], [1], [], [], [], []]",1,0.10605072975158691
131,4,"[[], [], [], [1], [1, 2], [2, 1], [2, 2], [3, 2], [8], [2], [2], [2], [1], [1], []]","[[], [], [], [1], [2, 1], [3, 2], [2, 1, 2], [2, 3], [3], [3], [3, 1], [2, 1], [], [], []]",1,0.1231544017791748
132,5,"[[], [], [2], [3], [2], [2], [2], [1], [2], [2], [1], [4], [2], [], []]","[[], [], [], [], [], [2], [2, 2], [5, 1], [2, 7], [2], [], [], [], [], []]",1,0.04523181915283203
133,9,"[[], [], [], [], [3], [1, 1], [1, 3], [1, 1], [2], [1], [2], [1], [2], [1], []]","[[], [], [], [], [], [1], [1, 1, 2], [1, 1, 3], [1, 1, 3], [5], [], [], [], [], []]",1,0.11719465255737305
134,1,"[[], [], [1], [3], [3], [3], [3], [3], [3], [2], [2], [3], [2], [], []]","[[], [], [], [1], [3], [3], [3], [4], [4], [5], [3], [2], [], [], []]",3,0.056555747985839844
135,3,"[[], [], [1], [6], [1, 1], [2], [4], [4], [4], [2], [3], [7], [3], [], []]","[[], [], [1], [2], [2], [2, 1, 2], [1, 3, 1], [1, 3, 2], [2, 6], [1, 2, 3], [3], [], [], [], []]",2,0.11904072761535645
136,3,"[[], [], [], [4], [1, 1], [1], [2], [4], [5], [1], [1], [2], [4], [], []]","[[], [], [], [], [1], [1], [1, 2, 1], [1, 3, 1], [6, 1], [2, 2], [4], [], [], [], []]",1,0.12935209274291992
137,8,"[[], [], [], [4], [5], [1, 2], [4], [3], [2], [3], [3], [3], [2], [], []]","[[], [], [], [], [], [3], [3, 4], [2, 6], [2, 4], [5], [3], [], [], [], []]",2,0.09865832328796387
138,5,"[[], [], [1], [4], [2], [2], [3], [2], [2], [3, 2], [2, 1], [5], [3], [], []]","[[], [], [], [1], [2], [3], [2, 2], [4, 2], [1, 1, 2], [1, 3, 1], [2, 4], [1], [], [], []]",1,0.12772154808044434
139,4,"[[], [], [], [2], [1], [2, 2], [2, 1], [2, 2], [2, 3], [6], [2], [1], [1], [], []]","[[], [], [], [], [2], [4], [2, 1, 2], [1, 2], [4], [5], [3, 2], [1], [], [], []]",1,0.11762809753417969
14,1,"[[], [], [], [1], [1], [1], [1], [1], [1], [1], [1], [1], [2], [], []]","[[], [], [], [], [], [], [1], [9], [1], [], [], [], [], [], []]",2,0.025864124298095703
140,7,"[[], [], [], [3], [2], [1], [1], [1], [1], [1], [1], [1], [1], [], []]","[[], [], [], [], [], [1, 1], [1, 1], [2, 1], [1, 1], [4], [], [], [], [], []]",72,0.2884547710418701
141,7,"[[], [], [], [], [3], [5], [4, 2], [2], [2], [2], [1], [1], [1], [1], []]","[[], [], [], [1], [1, 1], [1, 1], [2, 2], [2, 2], [1, 2], [4], [3], [1], [], [], []]",8,0.09173583984375
142,4,"[[], [], [], [1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [5], [2], [1], [], [], []]","[[], [], [], [], [], [6], [1], [3], [3], [2, 1], [2, 1], [1], [], [], []]",2,0.12443733215332031
143,2,"[[], [], [], [], [5], [3, 2], [3], [2], [1], [2, 3], [7], [], [], [], []]","[[], [], [], [1], [1, 1], [2, 2], [1, 3], [1, 2, 1], [1, 2, 1], [3, 1], [1, 2], [1], [1], [], []]",1,0.08360815048217773
144,8,"[[], [], [], [5], [1, 1], [1, 1], [1, 1], [2], [1], [1, 1], [1], [1, 1], [2, 1], [], []]","[[], [], [], [], [1], [1, 1], [1, 1, 1, 2], [1, 1, 1], [1, 3], [1, 1, 1, 1], [1, 2], [], [], [], []]",27,0.17100930213928223
145,5,"[[], [], [], [], [4], [3], [2], [3], [3], [2], [1, 2], [3], [], [], []]","[[], [], [], [1], [2, 1], [3, 1], [2, 1], [1, 3], [1, 2], [1], [1], [1], [1], [1], []]",6,0.13042783737182617
146,8,"[[], [], [3], [6], [1], [2], [2], [3], [3], [3], [2, 2], [5], [2], [], []]","[[], [], [], [], [3], [2, 3], [1, 3, 1], [2, 5], [2, 5], [2, 1], [1, 1], [1], [1], [], []]",3,0.10266423225402832
147,6,"[[], [], [3], [2], [2], [1], [1, 2], [6], [6], [5], [5], [2], [], [], []]","[[], [], [], [], [], [4], [8], [3, 5], [2, 4], [1, 5], [3], [], [], [], []]",1,0.07845354080200195
148,7,"[[], [], [], [3], [1, 1], [1, 1], [1, 1], [1], [3], [5], [2], [2], [1], [], []]","[[], [], [], [], [1], [2, 1], [1, 1, 2], [1, 4], [1, 3], [6], [], [], [], [], []]",4,0.09922981262207031
149,3,"[[], [], [], [7], [2, 2], [2], [3], [6], [3, 2], [1], [1], [2], [6], [], []]","[[], [], [], [1], [2, 1, 1], [1, 2, 1], [1, 2, 1], [1, 2, 1], [1, 2, 1], [6, 2], [3, 5], [], [], [], []]",1,0.16054487228393555
15,7,"[[], [], [], [], [5], [3, 2], [2, 2], [1, 1], [2], [2], [2], [1], [1], [2], []]","[[], [], [], [], [3, 1], [2, 2], [1, 1], [1, 2], [1, 3], [1, 3], [3], [2], [], [], []]",2,0.12743306159973145
150,4,"[[], [], [], [2], [2], [3], [1, 2], [2, 2], [2, 2, 2], [7], [2], [1], [1], [], []]","[[], [], [], [2], [3], [1, 1], [1, 1], [9], [8], [1, 1], [1], [1], [1], [], []]",3,0.12900209426879883
151,6,"[[], [2], [3], [2], [2], [1], [1], [1, 3], [1, 4], [2, 2, 1], [5], [3], [], [], []]","[[], [], [], [], [1], [6], [2, 2], [3, 3], [2, 3], [2, 2, 1], [1, 3], [2], [], [], []]",5,0.12456393241882324
152,1,"[[], [], [2], [2], [2], [2], [2], [2], [2], [2], [1], [2], [1], [], []]","[[], [], [], [], [], [], [4], [8, 1], [7], [], [], [], [], [], []]",2,0.04340314865112305
153,9,"[[], [], [], [], [5], [1, 1], [1, 1], [4], [1], [2], [1], [1], [1], [], []]","[[], [], [], [], [], [3, 1], [1, 1, 1], [1, 1, 2], [1, 3], [3], [1], [], [], [], []]",2,0.0817711353302002
154,9,"[[], [], [], [], [3], [2, 2], [1, 2, 1], [2, 1], [1], [1], [2], [2], [2], [2], []]","[[], [], [], [2], [2, 1], [1, 1], [1], [1, 3], [1, 4], [1, 4], [2], [], [], [], []]",1,0.09148836135864258
155,6,"[[], [1], [1], [3], [3], [2], [2, 2], [1, 4], [1, 2, 1], [2, 2, 1], [6], [4], [], [], []]","[[], [], [], [], [2], [6], [3, 2], [3, 4], [2, 5], [2, 2, 1], [1, 2, 1], [2], [], [], []]",1,0.13313913345336914
156,0,"[[], [], [], [], [8], [2, 1], [2, 1], [1, 2], [1, 1], [1, 2], [1, 2], [6], [], [], []]","[[], [], [], [6], [2, 1], [2, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 2], [1, 3], [4], [], []]",1,0.13555264472961426
157,3,"[[], [], [2], [6], [1, 2], [2], [3], [5], [2, 1], [1], [2], [7], [3], [], []]","[[], [], [1], [2], [2], [2, 2], [2, 2, 1], [1, 2, 1], [1, 2, 2], [2, 6], [4], [2], [], [], []]",1,0.11566042900085449
158,7,"[[], [], [], [], [], [3, 1], [1], [1, 1], [1, 1], [1], [1], [1], [1], [1], []]","[[], [], [], [], [4], [1], [1], [], [], [], [1, 7], [], [], [], []]",1,0.07894372940063477
159,2,"[[], [], [], [3], [9], [1, 2], [2], [2], [3], [3, 3], [7], [], [], [], []]","[[], [], [], [2], [1, 2], [1, 2], [1, 3], [2, 2, 1], [2, 2, 1], [2, 1, 1], [3, 1], [2, 1], [1], [1], []]",1,0.1172175407409668
16,2,"[[], [], [], [5], [1, 1], [1], [2], [1], [5], [6], [1, 2], [5], [], [], []]","[[], [], [], [2], [1, 1], [2, 1, 1], [1, 1, 1], [1, 3], [1, 2], [7], [1, 1], [1], [1], [1], []]",1,0.16812682151794434
160,8,"[[], [], [1], [1], [1, 1], [1, 1], [5], [3], [3], [1, 1], [1, 1], [1, 2], [2], [], []]","[[], [], [], [], [], [2], [1, 1, 2], [2, 4, 1], [3, 2], [7], [1], [], [], [], []]",3,0.1572723388671875
161,2,"[[], [], [], [6], [2, 2], [2], [3], [2], [2], [2], [2, 3], [8], [], [], []]","[[], [], [], [2], [3], [1, 2, 1], [2, 2, 1], [1, 2, 1], [1, 1, 1], [1, 2, 1], [3, 2], [2, 1], [1], [], []]",1,0.16322803497314453
162,9,"[[], [], [], [3], [1, 2], [1, 2], [1, 1], [5], [5], [1], [1], [1], [1], [2], []]","[[], [], [], [], [1], [2, 2], [1, 2], [1, 2, 1], [2, 7], [5], [1], [], [], [], []]",2,0.11187076568603516
163,4,"[[], [], [], [1], [1], [2, 1], [1, 2], [2, 5], [7], [2], [1], [1], [1], [], []]","[[], [], [], [], [2], [3, 2], [1, 3], [1, 3], [3], [4], [1, 2], [1, 1], [], [], []]",2,0.07167840003967285
164,4,"[[], [], [], [1, 2], [1, 2], [1, 2], [2, 2], [9], [9], [4, 2], [2], [2], [1], [], []]","[[], [], [], [4], [7], [3], [3], [2], [2], [9], [10], [2], [], [], []]",1,0.06360960006713867
165,6,"[[], [2], [2], [2], [2], [1], [2, 2], [6], [4, 1], [2, 1], [5], [3], [], [], []]","[[], [], [], [], [], [5], [8], [2, 2, 2], [2, 3, 2], [2, 2, 1], [1, 3], [], [], [], []]",1,0.1510162353515625
166,4,"[[], [], [], [1], [1, 1], [2, 2], [1, 1], [1, 2], [2, 2], [5], [2], [1], [1], [], []]","[[], [], [], [], [2], [5], [2, 1, 1], [4], [4], [3], [3], [], [], [], []]",1,0.0900571346282959
167,9,"[[], [], [], [], [5], [2, 2], [2, 1], [6], [3, 1], [2], [2], [2], [2], [1], []]","[[], [], [], [], [1], [4, 2], [2, 2, 2], [1, 2, 2], [1, 1, 2], [1, 3], [4], [1], [], [], []]",1,0.14960479736328125
168,7,"[[], [], [], [2], [6], [3], [3], [3], [3], [3], [4], [3], [3], [1], []]","[[], [], [], [], [1], [2, 3], [1, 6], [1, 7], [7], [4], [2], [], [], [], []]",1,0.09486079216003418
169,0,"[[], [], [1], [4], [5], [3, 2], [2, 2], [3, 2], [2, 1], [2, 1], [2, 2], [6], [4], [], []]","[[], [], [], [], [5], [8], [5, 2], [3, 2], [3, 2], [5, 2], [7], [], [], [], []]",1,0.13223814964294434
17,8,"[[], [], [], [1], [5], [2, 2], [1, 2], [3], [3], [4], [1, 1], [1, 2], [3], [], []]","[[], [], [], [], [3], [1, 1, 1], [6, 2], [1, 5], [1, 4], [3], [2], [1], [], [], []]",1,0.1199655532836914
170,9,"[[], [], [], [], [3], [2, 2], [1, 2], [1, 1, 1], [3, 1], [1], [1], [1], [1], [1], []]","[[], [], [], [], [4], [1, 1], [1, 1], [1, 1], [1, 1, 3], [6], [1], [], [], [], []]",3,0.1103212833404541
171,2,"[[], [], [], [4], [7], [2], [3], [4], [4], [2, 3], [10], [4], [], [], []]","[[], [], [], [1], [1, 3], [1, 4], [2, 2, 2], [2, 2, 2], [2, 3, 1], [5, 1], [3, 1], [2], [2], [1], []]",1,0.08805036544799805
172,9,"[[], [], [], [], [2], [2, 3], [2, 5], [2, 1], [1], [1], [1], [2], [2], [2], []]","[[], [], [], [1], [3], [1, 1], [1], [1, 3], [2, 4], [5], [3], [1], [], [], []]",4,0.11628389358520508
173,5,"[[], [], [], [], [3], [4], [2], [3], [2], [1, 2], [4], [], [], [], []]","[[], [], [], [2], [1], [1], [2, 1], [5], [1, 3], [1], [2], [1], [1], [], []]",1,0.0627443790435791
174,1,"[[], [], [], [1], [1], [2], [2], [2], [1], [1], [1], [2], [1], [], []]","[[], [], [], [], [], [], [1], [8], [5], [], [], [], [], [], []]",1,0.04091525077819824
175,5,"[[], [], [], [], [4], [3], [2], [4], [3], [1, 1], [2, 2], [5], [], [], []]","[[], [], [], [1], [3], [1, 1], [3, 1], [4, 1], [1, 2, 2], [1, 2], [1], [1], [1], [1], []]",1,0.07273292541503906
176,9,"[[], [], [], [], [4], [1, 2], [1, 3], [2, 1], [1], [1], [1], [1], [1], [2], []]","[[], [], [], [], [], [3], [1, 1], [1, 1], [10], [3, 1], [], [], [], [], []]",1,0.055985212326049805
177,1,"[[], [], [], [2], [2], [3], [3], [2], [2], [3], [2], [2], [2], [], []]","[[], [], [], [], [], [2], [4], [6], [6], [4], [1], [], [], [], []]",2,0.06612610816955566
178,2,"[[], [], [2], [2, 1], [2, 1], [1], [1], [2, 1], [3, 1], [1, 1, 1], [1, 2], [5], [], [], []]","[[], [], [], [5], [2, 1], [1, 1], [1, 1], [2, 1, 1], [1, 1], [2], [1, 2], [5], [], [], []]",2,0.1793212890625
179,3,"[[], [], [], [6], [9], [1], [3], [5], [6], [1], [1, 2], [8], [4], [], []]","[[], [], [1], [2], [1, 2], [1, 2, 2], [2, 2, 2], [2, 2, 2], [2, 2, 1], [2, 3, 2], [2, 1, 3], [4], [1], [], []]",2,0.1786644458770752
18,6,"[[], [], [1], [2], [1], [1], [], [1, 1], [1, 1, 1], [1, 1], [1, 1], [1], [], [], []]","[[], [], [], [], [], [4], [2], [1, 2], [1], [1, 1], [3], [], [], [], []]",27,0.12678313255310059
180,2,"[[], [], [2], [2], [3], [2], [2], [1], [1], [2], [2], [5], [], [], []]","[[], [], [], [], [], [1], [2], [3, 3], [8, 1], [3, 1], [], [], [], [], []]",2,0.08707737922668457
181,3,"[[], [], [], [3], [9], [1, 2], [2], [5], [4], [2], [2], [1, 2], [6], [], []]","[[], [], [2], [1], [2, 1], [1, 1], [1, 2, 1], [2, 2, 2], [2, 5], [2, 4], [1, 2], [3], [2], [], []]",1,0.13301515579223633
182,5,"[[], [], [1], [5], [2], [3], [3], [2], [1], [1], [1, 3], [6], [3], [], []]","[[], [], [], [], [1], [3, 2], [2, 1, 2], [1, 2, 2], [1, 1, 2], [1, 2, 2], [5], [1], [], [], []]",1,0.13587355613708496
183,9,"[[], [], [], [], [6], [2, 1], [1, 1], [6], [6], [2], [2], [2], [1], [2], []]","[[], [], [], [], [4], [2, 2, 1], [1, 2, 3], [1, 2, 2], [1, 4], [1, 4], [2], [], [], [], []]",1,0.11448979377746582
184,1,"[[], [], [1], [2], [1], [2], [2], [2], [2], [2], [2], [2], [1], [], []]","[[], [], [], [], [], [], [2], [9], [8], [], [], [], [], [], []]",1,0.04741787910461426
185,7,"[[], [], [], [], [3], [9], [4, 2], [2], [2], [3], [3], [2], [1], [2], []]","[[], [], [1], [2], [2, 1], [2, 2], [1, 2], [1, 3], [1, 2], [2, 3], [5], [3], [], [], []]",1,0.09657454490661621
186,6,"[[], [], [2], [2], [1], [1], [1], [1, 2, 2], [1, 1, 1], [3, 1], [2, 1], [4], [], [], []]","[[], [], [], [], [], [7], [2, 2], [1, 5], [1, 1], [1], [1, 1], [4], [], [], []]",1,0.14060306549072266
