puzzle_id,label,row_hints,col_hints,num_solutions,json_file_path
0,3,"[[], [], [3], [1, 1], [1], [1], [4], [1, 1], [2], [1], [1], [1, 2], [3], [], []]","[[], [], [], [1], [1], [1, 1], [1, 2, 1], [1, 1, 1], [1, 1, 1], [8], [1], [], [], [], []]",15,./mnist_nonograms\mnist_puzzle_0.json
1,2,"[[], [1], [1], [], [], [], [1], [1], [1], [1, 3], [1, 3], [1], [], [], []]","[[], [], [], [], [2], [2, 1], [2], [2], [2], [2, 1], [], [], [], [], []]",7,./mnist_nonograms\mnist_puzzle_1.json
1008,6,"[[], [], [2], [2], [2], [2], [1], [2, 2], [1, 4], [3, 1], [2, 1], [4], [], [], []]","[[], [], [], [], [3], [3, 2], [2, 3], [2, 2, 1], [2, 2, 1], [1, 1, 1], [1, 1], [1], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1008.json
1010,5,"[[], [], [], [5], [1, 4], [1], [1], [2], [2], [2], [2], [2], [1, 2], [3], []]","[[], [], [], [], [1, 1], [1, 2, 1], [1, 3, 1], [1, 5], [1, 3], [2], [2], [2], [1], [], []]",5,./mnist_nonograms\mnist_puzzle_1010.json
1011,3,"[[], [], [4], [5], [1], [5], [4, 2], [2], [2], [4], [2, 3], [6], [1], [], []]","[[], [], [], [1], [1, 3], [1, 2], [2, 1, 1], [2, 2, 3], [2, 1, 3], [2, 6], [7], [1], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1011.json
1015,1,"[[], [], [1], [2], [1], [2], [2], [3], [2], [2], [1], [2], [1], [], []]","[[], [], [], [], [2], [3], [3], [3], [3], [3], [2], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1015.json
1016,7,"[[], [], [], [5], [1], [], [], [4], [4], [1], [2], [2], [1], [], []]","[[], [], [], [], [1], [1], [1], [1, 1, 3], [2, 5], [2], [2], [1], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1016.json
1017,2,"[[], [], [2], [3], [3], [1], [1], [1], [1], [6], [5], [3], [], [], []]","[[], [], [], [], [2], [3], [1, 3], [3, 2], [3, 2], [1, 1], [5], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1017.json
1018,8,"[[], [], [2], [1, 1], [4], [2], [3], [1, 1], [2, 1], [1], [1, 1], [4], [2], [], []]","[[], [], [], [], [], [3], [3, 1], [5, 2], [1, 5, 2], [2, 2], [1], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1018.json
102,0,"[[], [], [], [4], [1, 5], [1, 2], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 2], [2, 4], [], []]","[[], [], [], [6], [1, 1], [1, 1], [1], [2, 1], [2, 1], [2, 1], [1, 2], [2, 1], [6], [], []]",5,./mnist_nonograms\mnist_puzzle_102.json
1020,1,"[[], [], [2], [2], [2], [2], [2], [2], [2], [2], [2], [2], [1], [], []]","[[], [], [], [], [], [], [4], [10], [7], [], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1020.json
1021,1,"[[], [], [], [1], [1], [1], [2], [2], [1], [2], [1], [1], [1], [], []]","[[], [], [], [], [], [1], [3], [4], [4], [1], [], [], [], [], []]",8,./mnist_nonograms\mnist_puzzle_1021.json
1024,3,"[[], [], [], [4], [1], [1], [1], [4], [2, 2], [1], [1], [2], [3], [], []]","[[], [], [], [], [], [1, 2, 1], [1, 2, 1], [1, 1, 2], [1, 3, 1], [2, 3], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1024.json
1026,3,"[[], [], [], [4], [3, 1], [2], [2], [1], [1], [1], [1], [2], [2], [3], []]","[[], [], [], [1], [1, 1], [1, 1], [1, 2, 1], [1, 1, 1], [1, 1, 2], [1, 1, 1], [1, 1], [2], [], [], []]",1000,./mnist_nonograms\mnist_puzzle_1026.json
103,2,"[[], [], [4], [7], [3, 3], [1, 2], [1, 2], [8], [9], [3, 3], [2, 6], [6, 1], [2], [], []]","[[], [], [1], [3, 3], [2, 5], [2, 3, 2], [2, 2, 2], [2, 3, 2], [2, 2, 2], [2, 5], [7], [8], [1], [], []]",2,./mnist_nonograms\mnist_puzzle_103.json
1031,3,"[[], [], [], [3], [5], [2], [3], [3], [1], [1], [1], [3], [2], [], []]","[[], [], [], [], [1, 1], [1, 1], [2, 1, 1], [4, 1], [5, 1], [1, 1], [3], [], [], [], []]",7,./mnist_nonograms\mnist_puzzle_1031.json
1033,1,"[[], [], [], [1], [1], [1], [2], [2], [2], [2], [2], [1], [1], [], []]","[[], [], [], [], [], [], [3], [5], [5], [2], [], [], [], [], []]",6,./mnist_nonograms\mnist_puzzle_1033.json
1037,5,"[[], [], [], [4], [1], [4], [2, 1], [1, 1], [1], [1], [1], [1], [5], [], []]","[[], [], [], [], [1], [2, 1], [4, 1], [1, 1, 1], [1, 1, 1], [1, 7], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1037.json
1038,1,"[[], [], [], [1], [1], [2], [2], [2], [2], [2], [2], [2], [2], [], []]","[[], [], [], [], [], [], [4], [8], [6], [], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1038.json
104,8,"[[], [], [2], [5], [1], [2], [1], [7], [3], [4], [2, 2], [2, 2], [1, 1], [], []]","[[], [], [], [2], [1], [1, 1], [4, 2, 1], [1, 3, 1], [1, 5], [2, 4], [2, 1], [1, 1], [1], [], []]",2,./mnist_nonograms\mnist_puzzle_104.json
1040,8,"[[], [], [], [3], [3, 1], [2, 2, 1], [1, 1, 1], [1, 1], [2, 2], [1, 2], [2], [1], [1], [2], []]","[[], [], [], [], [4, 1], [1, 6], [1, 1], [3, 1], [2, 1], [1, 1], [1, 2], [1, 1], [2], [], []]",6,./mnist_nonograms\mnist_puzzle_1040.json
1043,2,"[[], [], [3], [2, 1], [1, 1], [1], [2], [6], [6], [1, 2], [1, 3], [5, 1], [1], [], []]","[[], [], [], [2], [1, 3], [2, 1], [1, 2, 1], [1, 2, 1], [1, 2, 2], [1, 4], [9], [1], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1043.json
1044,4,"[[], [], [], [], [1], [2], [2, 1], [7], [6], [1], [1], [1], [1], [], []]","[[], [], [], [], [], [2, 1], [4, 2], [1, 3], [3], [1, 2], [2], [2], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1044.json
1048,6,"[[], [], [2], [2], [3], [2], [1], [5], [5], [3, 2], [6], [6], [], [], []]","[[], [], [], [], [3], [5], [6], [2, 2, 2], [2, 2, 2], [2, 5], [2, 1], [1], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1048.json
1049,9,"[[], [], [], [2], [5], [2], [1, 2], [6], [5], [2], [2], [2], [3], [1], []]","[[], [], [], [], [1], [4], [2, 2, 2], [1, 6], [2, 7], [2, 3], [1], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1049.json
105,9,"[[], [], [], [3], [1], [1, 1], [1, 1], [1, 2], [4], [1], [2], [2], [1], [1], []]","[[], [], [], [], [], [4], [1, 1], [1, 2, 4], [1, 5], [3], [], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_105.json
1053,3,"[[], [], [1], [6], [5], [4], [2], [3], [2], [1], [3, 1], [7], [2], [], []]","[[], [], [], [2], [1, 1], [2, 2], [4, 2], [5, 1], [3, 1, 1], [2, 2, 2], [2, 2], [2], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1053.json
1054,0,"[[], [], [], [4], [2, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [2, 1], [1, 1], [6], [], []]","[[], [], [], [4], [3, 2], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [5], [], []]",25,./mnist_nonograms\mnist_puzzle_1054.json
1056,7,"[[], [], [], [5], [1], [2], [1], [2], [2], [1], [2], [1], [2], [1], []]","[[], [], [], [], [2], [3], [1, 2], [1, 2], [1, 2], [1, 2], [3], [], [], [], []]",2,./mnist_nonograms\mnist_puzzle_1056.json
1057,1,"[[], [], [1], [1], [1], [2], [2], [2], [2], [1], [2], [2], [1], [], []]","[[], [], [], [], [2], [2], [3], [3], [3], [2], [2], [], [], [], []]",18,./mnist_nonograms\mnist_puzzle_1057.json
