puzzle_id,label,row_hints,col_hints,num_solutions,solving_time_sec
0,5,"[[], [], [], [], [8], [7], [1, 2, 1], [1], [2], [2], [2], [2], [2], [3], [4], [4], [5], [5], [], []]","[[], [], [], [1], [2], [2], [2, 2], [1, 3], [5, 2], [3, 2, 2], [2, 2, 2], [2, 1, 2], [3, 4], [1, 3], [1], [1], [], [], [], []]",1,0.1275920867919922
1,0,"[[], [], [], [3], [4], [4, 1], [5, 2], [3, 2], [3, 2], [1, 2], [2, 2], [1, 2], [1, 2], [1, 2], [2, 4], [7], [3], [], [], []]","[[], [], [], [], [], [6], [3, 3], [2, 2], [3, 2], [3, 2], [3, 2], [4, 2], [4, 2], [2, 2], [8], [6], [], [], [], []]",1,0.16178202629089355
10,3,"[[], [], [], [2], [5], [5], [4], [4], [4], [6], [5], [3], [3], [2], [2, 3], [7], [3], [], [], []]","[[], [], [], [], [1], [2], [1], [1], [1, 1, 2], [4, 3, 2], [8, 3], [12], [11], [1, 1, 4], [], [], [], [], [], []]",2,0.09311652183532715
100,5,"[[], [], [], [], [4], [6], [3], [3], [2], [1], [1], [1], [3], [5], [3], [2], [2], [3], [1], []]","[[], [], [], [], [], [], [], [3], [8], [3, 2], [1, 2], [2, 2, 1], [2, 6], [2, 4], [2], [], [], [], [], []]",1,0.07940459251403809
1000,0,"[[], [], [], [], [4], [2, 2], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1], [2], [2, 1], [2, 1], [2, 3], [2, 2], [4], [2], [], []]","[[], [], [], [], [], [], [6], [10], [3, 2], [1, 2], [2, 2], [1, 3], [1, 2], [2, 3], [6], [], [], [], [], []]",1,0.17856121063232422
1001,7,"[[], [], [], [], [1], [2, 3], [3, 4], [3, 6], [11], [3, 3], [1, 3], [3], [2], [2], [3], [3], [3], [3], [3], []]","[[], [], [], [], [1, 1], [3, 2], [4, 3], [3, 3], [4, 3], [1, 1, 3], [2, 4], [6], [6], [5], [4], [4], [2], [], [], []]",1,0.14195537567138672
1002,1,"[[], [], [], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [1], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [14], [], [], [], [], [], [], [], [], []]",1,0.03423357009887695
1003,1,"[[], [], [], [2], [2], [2], [3], [2], [2], [2], [2], [2], [2], [2], [2], [1], [2], [], [], []]","[[], [], [], [], [1], [1], [2], [3], [3], [3], [2], [3], [3], [3], [3], [1], [], [], [], []]",6,0.07036948204040527
1004,4,"[[], [], [], [], [1], [1], [1, 1], [1, 1], [2, 1], [5], [4], [2], [2], [2], [2], [1], [1], [1], [], []]","[[], [], [], [], [], [1], [2], [2], [2], [2], [2], [11], [7], [], [], [], [], [], [], []]",3,0.08488965034484863
1005,9,"[[], [], [], [], [3], [6], [2, 3], [2, 2], [3, 3], [2, 5], [1, 6], [5, 3], [2, 2], [2], [2], [2], [2], [2], [3], []]","[[], [], [], [], [1], [4], [2, 2, 1], [1, 1, 2], [2, 2, 3], [2, 2, 3], [1, 2, 3], [1, 5], [2, 4], [2, 4], [5], [4], [2], [], [], []]",1,0.17489266395568848
1006,4,"[[], [], [], [], [2], [2], [2, 2], [2, 3], [2, 3], [2, 3], [3, 2], [6], [3, 2], [1, 2], [2], [2], [2], [1], [], []]","[[], [], [], [], [], [], [5], [7], [4], [2], [1], [11], [13], [6], [], [], [], [], [], []]",1,0.06822657585144043
1007,3,"[[], [], [], [], [3], [6], [5, 2], [3, 3], [3], [4], [7], [4, 2], [1, 2], [3], [2], [2], [2], [3], [5], []]","[[], [], [], [], [], [1, 1], [2, 3, 1], [2, 2, 1], [2, 3, 2], [2, 2, 3], [2, 3, 3], [1, 4, 3], [5, 5], [4, 3], [2], [], [], [], [], []]",1,0.15862464904785156
1008,4,"[[], [], [], [], [1], [2], [3, 3], [3, 3], [2, 3], [2, 4], [3, 4], [7], [2], [2], [1], [1], [2], [2], [2], []]","[[], [], [], [], [2], [5], [3, 2], [2, 1], [1], [2, 3], [10], [5], [4], [4], [4], [4], [], [], [], []]",1,0.0842738151550293
1009,8,"[[], [], [], [], [2], [6], [1, 3], [1, 2], [2, 2], [4], [3], [4], [3, 1], [3, 1], [6], [5], [], [], [], []]","[[], [], [], [], [2], [3], [4], [5], [2, 2], [1, 2, 1], [8], [1, 2], [2, 1], [2, 2], [4], [3], [2], [], [], []]",1,0.1110067367553711
101,7,"[[], [], [], [], [], [], [6], [8], [5, 3], [4, 2], [2, 1], [3], [2], [1], [2], [2], [1], [1], [1], []]","[[], [], [1], [2], [1], [1], [2], [1], [2], [2, 5], [3, 2], [2, 3], [2, 2], [6], [4], [3], [], [], [], []]",1,0.09154605865478516
1010,2,"[[], [], [2], [6], [7], [2, 4], [2], [2], [2], [3], [2], [3], [1, 3], [10], [9, 2], [7], [], [], [], []]","[[], [], [1], [2], [3], [3], [4], [3], [2, 3], [4, 3], [4, 2], [2, 3], [3, 3], [3, 6], [7, 1], [5], [], [], [], []]",1,0.11266708374023438
1011,2,"[[], [], [], [], [6], [7], [2, 1], [1, 1], [2], [2], [2], [12], [2, 5], [1, 2], [2, 4], [5], [], [], [], []]","[[], [], [], [2], [2, 2], [2, 1], [1, 2], [2, 2], [2, 2], [2, 4], [2, 3], [2, 2], [2, 2], [2, 3], [2, 2, 1], [5, 1], [2], [], [], []]",1,0.2093496322631836
1012,1,"[[], [], [], [], [2], [3], [3], [3], [2], [2], [2], [2], [2], [1], [1], [1], [1], [], [], []]","[[], [], [], [], [], [], [], [], [], [11], [8], [4], [2], [], [], [], [], [], [], []]",1,0.04078936576843262
