puzzle_id,label,row_hints,col_hints,num_solutions,solving_time_sec
0,3,"[[], [], [], [4], [5, 2], [2], [2], [2], [1], [2], [3], [1, 3], [2], [2], [2], [1, 2], [3], [], [], []]","[[], [], [], [], [], [], [1, 2], [1, 1], [1, 2, 1], [2, 2, 1], [2, 2, 1], [1, 3, 1, 1], [5, 4], [2, 3], [], [], [], [], [], []]",1,0.10297966003417969
1,7,"[[], [], [], [], [], [8], [2, 2], [2], [2], [3], [3], [1], [2], [1], [2], [2], [1], [1], [1], []]","[[], [], [], [], [1], [2], [1], [1], [1, 1], [1, 3, 1], [1, 4], [1, 4], [6], [5], [], [], [], [], [], []]",1,0.05901694297790527
10,8,"[[], [], [], [], [5], [6], [3, 2], [2, 3], [1, 3], [5], [5], [3], [1, 2], [1, 2], [1, 2], [1, 2], [5], [3], [], []]","[[], [], [], [], [], [], [5], [2, 2], [2, 8], [2, 3, 2], [2, 4, 2], [2, 2, 3, 2], [5, 4], [5, 1], [], [], [], [], [], []]",1,0.1142580509185791
100,6,"[[], [], [2], [2], [3], [2], [2], [1], [1], [2], [2, 3], [2, 2], [1, 1, 1], [1, 2, 1], [6], [5], [], [], [], []]","[[], [], [], [], [], [4], [1, 2], [2, 3], [2, 3], [2, 2, 2], [1, 1, 1], [2], [2, 1], [1, 1, 1], [2, 3], [2, 1], [], [], [], []]",9,0.1264209747314453
1000,0,"[[], [], [], [], [2], [3], [10], [12], [12], [1, 2], [2, 2], [2, 2], [3, 2], [3, 2], [11], [7], [], [], [], []]","[[], [], [], [3], [8], [3, 3], [3, 3], [3, 2], [4, 2], [5, 2], [5, 2], [3, 2], [3, 2], [3, 1], [3, 3], [7], [3], [], [], []]",1,0.10550379753112793
1001,3,"[[], [], [], [4], [1, 1], [], [1], [1], [2, 1], [1], [2], [1], [1, 1], [1, 1], [2], [1, 1], [4], [], [], []]","[[], [], [], [], [1], [1, 2], [1, 1], [1, 1], [1, 1], [1], [1, 1, 1], [2, 2, 1], [1, 1], [1], [4], [1], [], [], [], []]",1000,0.6313469409942627
1002,8,"[[], [], [], [3], [3, 1], [2, 1], [3], [2], [2], [2, 2], [2, 1], [2, 1], [3, 2], [2, 2], [2, 1], [2, 3], [4], [], [], []]","[[], [], [], [], [], [], [1, 4], [2, 5], [3, 3, 1], [1, 1, 2, 1], [1, 4, 1], [5, 1], [1, 1], [2, 1], [5], [2], [], [], [], []]",1,0.13414740562438965
1003,5,"[[], [], [], [], [9], [4, 3], [3], [3], [4], [10], [9], [3], [4], [6], [5], [7], [5], [1], [], []]","[[], [], [], [], [], [2], [6, 2], [7, 2], [7, 3], [1, 3, 3], [2, 2, 3], [2, 2, 3], [2, 2, 3], [1, 2, 3], [5], [5], [3], [], [], []]",1,0.1050419807434082
1004,5,"[[], [], [], [], [], [9], [6, 1], [4], [5], [8], [3, 2], [2], [3], [3], [2, 4], [9], [], [], [], []]","[[], [], [], [], [2], [1, 2], [2, 1], [5, 1], [5, 1], [5, 1], [5, 2], [2, 2, 2], [2, 2, 4], [1, 6], [1, 3], [1], [2], [], [], []]",1,0.09231138229370117
1005,4,"[[], [], [], [], [1], [1, 1], [1, 2], [2, 2], [2, 2], [3, 2], [3, 2], [8], [8], [2], [2], [2], [2], [], [], []]","[[], [], [], [], [], [], [4], [6], [8], [6], [6], [5], [7], [4, 2], [], [], [], [], [], []]",1,0.05871725082397461
1006,5,"[[], [], [], [], [5], [7], [5], [3], [2], [3], [2], [2], [2], [3], [2], [3], [6], [5], [], []]","[[], [], [], [], [], [2], [2], [1, 2], [5, 2], [7, 3], [3, 3, 2], [3, 4], [3, 2], [2], [2], [2], [], [], [], []]",1,0.06658768653869629
1007,0,"[[], [], [], [], [3], [2, 1], [4, 1], [5, 1], [3, 1], [1, 1, 1], [2, 2, 2], [1, 2, 1], [1, 1], [1, 1, 2], [1, 1], [1, 2], [5], [3], [], []]","[[], [], [], [3], [2, 1], [2, 2], [1, 2], [2, 2], [2, 1], [2, 2, 1], [8, 1], [2, 1], [2, 1], [2, 2], [1, 2], [1, 2], [3], [], [], []]",116,0.26305580139160156
1008,5,"[[], [], [2], [2, 1], [1], [1], [1], [1], [1], [2, 2], [2], [1], [1], [1], [5, 2], [1, 5], [], [], [], []]","[[], [], [], [], [], [], [2], [1], [4, 1], [3, 1, 2], [2, 2], [1, 2, 1], [1, 2, 2], [5], [], [], [], [], [], []]",2,0.0846560001373291
1009,2,"[[], [], [], [1], [1], [1], [1], [1], [1], [4], [2, 2], [2, 4], [3, 4], [5, 2], [5], [3], [], [], [], []]","[[], [], [], [], [], [], [3], [6], [7], [1, 3], [1, 6], [9], [2], [3], [1], [], [], [], [], []]",1,0.059078216552734375
101,9,"[[], [], [], [], [1], [5], [2, 2], [3, 2], [2, 2], [7], [6], [2], [2], [2], [1], [1], [1], [1], [1], []]","[[], [], [], [], [], [], [3], [5], [2, 2], [1, 2], [1, 2, 3], [2, 8], [9], [3], [], [], [], [], [], []]",1,0.06924176216125488
1010,6,"[[], [], [1], [2], [2], [1], [2], [2], [1], [1], [1], [4], [1, 1], [2, 2], [1, 2], [5], [], [], [], []]","[[], [], [], [], [], [], [1], [5], [3, 1], [3, 1, 1], [2, 1, 1], [2, 4], [2, 2], [2], [], [], [], [], [], []]",4,0.08177828788757324
1011,4,"[[], [], [], [], [2, 3], [2, 2], [2, 2], [1, 2], [1, 2], [3, 3], [3, 3], [8], [7], [4], [2], [2], [2], [2], [], []]","[[], [], [], [], [], [2], [6], [1, 4, 2], [2, 2, 3], [2, 5], [4], [4], [5], [4], [3], [3], [3], [2], [1], []]",1,0.09229493141174316
1012,5,"[[], [], [], [2], [4], [1, 5], [5], [3], [3], [3], [2], [2], [2], [3], [2, 3], [7], [3], [], [], []]","[[], [], [], [], [], [], [3], [4, 2], [4, 2], [2, 2, 2], [2, 2, 2], [2, 6], [2, 5], [2, 3], [2], [1], [], [], [], []]",1,0.08809161186218262
